QueryRewrite,RerankUsed,VectorDB,QR LLM Model,Embedding Model,Rerank Model,Rerank Documents,nDCG@1,nDCG@3,nDCG@5,nDCG@10,Recall@1,Recall@3,Recall@5,Recall@10
YES,YES,faiss,openai/gpt-oss-20b,nomic-embed-text,BGE v2 M3 (Multilingual),10,0.03855106888361045,0.05028884798099762,0.0783720783847981,0.193920973871734,0.014101211401425178,0.04972767220902613,0.10576599762470308,0.39671160332541566
YES,YES,qdrant,openai/gpt-oss-20b,jina/jina-embeddings-v2-small-en,BGE v2 M3 (Multilingual),10,0.3485840142517815,0.3316704394299288,0.36431005938242284,0.4192710570071259,0.14765098574821853,0.31272068883610454,0.3969889904988123,0.5286287054631829
YES,NO,qdrant,openai/gpt-oss-20b,nomic-embed-text,,10,0.21613190023752968,0.2049183729216152,0.2300209619952494,0.26713,0.09081136579572448,0.1969159382422803,0.2597252612826603,0.3495634560570071
NO,NO,qdrant,,all-minilm:l6-v2,,10,0.2623136460807601,0.2491419002375297,0.2689480047505938,0.30772385985748213,0.11251668646080759,0.236735593824228,0.2933292399049881,0.38522422802850353
YES,YES,qdrant,openai/gpt-oss-20b,all-minilm:l6-v2,BGE v2 M3 (Multilingual),5,0.35988739904988126,0.3420640380047506,0.38409117577197155,0.3819564964370546,0.14881628266033253,0.3258630522565321,0.43076640142517814,0.43076640142517814
NO,YES,qdrant,,all-minilm:l6-v2,BGE v2 M3 (Multilingual),10,0.2854727434679335,0.2691017458432304,0.29973433491686463,0.345650593824228,0.11968812351543943,0.2553183491686461,0.33409362232779094,0.44301472684085513
YES,YES,qdrant,openai/gpt-oss-20b,all-minilm:l6-v2,cross-encoder/ms-marco-MiniLM-L6-v2,10,0.31991644893111637,0.2931894299287411,0.32412197149643707,0.3691859619952494,0.1337414489311164,0.2752925534441805,0.35565548693586696,0.46380343230403803
YES,NO,qdrant,openai/gpt-oss-20b,all-minilm:l6-v2,,10,0.31991644893111637,0.2931894299287411,0.32412197149643707,0.3690398812351544,0.1337414489311164,0.2752925534441805,0.355655486935867,0.4634796199524941
YES,YES,qdrant,google/gemma-3-12b,all-minilm:l6-v2,mixedbread-ai/mxbai-rerank-xsmall-v1,10,0.3082420071258907,0.2859989311163896,0.32611516627078385,0.37563546318289787,0.1261246437054632,0.2680421971496437,0.3661428622327791,0.48307255344418054
YES,YES,qdrant,openai/gpt-oss-20b,all-minilm:l6-v2,jinaai/jina-reranker-v2-base-multilingual,10,0.3340798812351544,0.3161555344418053,0.35037755344418053,0.4069089073634205,0.14004314726840852,0.2996649524940618,0.3878690142517815,0.5224000831353919
YES,NO,qdrant,google/gemma-3-12b,all-minilm:l6-v2,,10,0.2838971733966746,0.2683818527315915,0.29485162707838475,0.34351009501187646,0.11665070071258907,0.25303118764845606,0.3236451306413302,0.4378392755344418
YES,YES,qdrant,google/gemma-3-12b,all-minilm:l6-v2,BGE v2 M3 (Multilingual),5,0.326453729216152,0.31654944180522565,0.35863484560570075,0.35656819477434676,0.133045783847981,0.30155009501187646,0.4054748931116389,0.4054748931116389
YES,YES,qdrant,openai/gpt-oss-20b,snowflake-arctic-embed:137m,BGE v2 M3 (Multilingual),10,0.05771175771971497,0.05872387173396674,0.06743628266033254,0.08283883610451308,0.023707838479809975,0.05760071258907363,0.07831488123515438,0.11437912114014252
YES,YES,qdrant,openai/gpt-oss-20b,all-minilm:l6-v2,mixedbread-ai/mxbai-rerank-xsmall-v1,10,0.3366095724465558,0.3173601781472684,0.3514608669833729,0.40277140142517814,0.13904745843230404,0.30014863420427557,0.38940997624703094,0.5112627790973872
NO,NO,qdrant,,nomic-embed-text,,10,0.21124699524940618,0.18796046318289786,0.2084624703087886,0.23968561757719717,0.09408947743467933,0.17443119952494063,0.22688152019002378,0.30033933491686465
NO,YES,qdrant,,nomic-embed-text,BGE v2 M3 (Multilingual),10,0.22671896674584321,0.21006795724465557,0.2326516270783848,0.27300698337292156,0.09998798099762471,0.19766172209026128,0.2560222802850356,0.34976377672209025
YES,NO,qdrant,google/gemma-3-12b,nomic-embed-text,,10,0.22401944180522565,0.20715136579572446,0.23022091448931117,0.26440763657957245,0.09163929928741094,0.19692465558194772,0.2566539429928741,0.3391778384798099
YES,YES,qdrant,google/gemma-3-12b,all-minilm:l6-v2,BGE v2 M3 (Multilingual),10,0.303226270783848,0.2902006650831354,0.3276468289786224,0.38069247030878856,0.12399529691211401,0.27379173396674583,0.3675534916864608,0.4949725890736342
YES,YES,qdrant,google/gemma-3-12b,nomic-embed-text,BGE v2 M3 (Multilingual),10,0.231827541567696,0.2302605819477435,0.25291178147268406,0.2965594655581948,0.09454520190023753,0.22367592636579575,0.28519403800475057,0.3888836342042755
YES,YES,qdrant,openai/gpt-oss-20b,nomic-embed-text,BGE v2 M3 (Multilingual),10,0.23430517814726842,0.2272442755344418,0.25620251781472686,0.30147217339667465,0.09858176959619953,0.21871166270783848,0.29180628266033254,0.39756433491686466
YES,YES,qdrant,openai/gpt-oss-20b,all-minilm:l6-v2,BGE v2 M3 (Multilingual),10,0.33537513064133023,0.3196018408551069,0.35290833729216153,0.405504513064133,0.1393983372921615,0.3031511401425178,0.3916497149643705,0.5177178859857482
